Sampling Date,Location of Monitoring Station,SO2,NO2,RSPM/PM10
2012-04-02,"Govt. High School, Manali, Chennai.",13.0,26.0,51.0
2012-04-09,"Govt. High School, Manali, Chennai.",13.0,23.0,58.0
2012-04-12,"Govt. High School, Manali, Chennai.",13.0,26.0,56.0
2012-04-16,"Govt. High School, Manali, Chennai.",12.0,26.0,40.0
2012-04-19,"Govt. High School, Manali, Chennai.",11.0,28.0,47.0
2012-04-23,"Govt. High School, Manali, Chennai.",13.0,30.0,44.0
2012-04-26,"Govt. High School, Manali, Chennai.",14.0,27.0,40.0
2012-04-30,"Govt. High School, Manali, Chennai.",15.0,24.0,63.0
2012-05-03,"Govt. High School, Manali, Chennai.",14.0,30.0,85.0
2012-05-07,"Govt. High School, Manali, Chennai.",15.0,32.0,110.0
2012-05-10,"Govt. High School, Manali, Chennai.",16.0,33.0,81.0
2012-05-17,"Govt. High School, Manali, Chennai.",16.0,32.0,103.0
2012-05-21,"Govt. High School, Manali, Chennai.",14.0,33.0,101.0
2012-05-24,"Govt. High School, Manali, Chennai.",14.0,29.0,102.0
2012-05-28,"Govt. High School, Manali, Chennai.",17.0,33.0,106.0
2012-05-31,"Govt. High School, Manali, Chennai.",14.0,31.0,69.0
2012-06-04,"Govt. High School, Manali, Chennai.",18.0,28.0,77.0
2012-06-07,"Govt. High School, Manali, Chennai.",19.0,24.0,64.0
2012-06-11,"Govt. High School, Manali, Chennai.",15.0,25.0,83.0
2012-06-14,"Govt. High School, Manali, Chennai.",17.0,24.0,70.0
2012-06-18,"Govt. High School, Manali, Chennai.",20.0,25.0,72.0
2012-06-21,"Govt. High School, Manali, Chennai.",17.0,24.0,75.0
2012-06-25,"Govt. High School, Manali, Chennai.",21.0,26.0,60.0
2012-06-28,"Govt. High School, Manali, Chennai.",21.0,21.0,43.0
2012-07-02,"Govt. High School, Manali, Chennai.",16.0,18.0,89.0
2012-07-05,"Govt. High School, Manali, Chennai.",17.0,17.0,63.0
2012-07-09,"Govt. High School, Manali, Chennai.",17.0,18.0,61.0
2012-07-12,"Govt. High School, Manali, Chennai.",18.0,20.0,49.0
2012-07-16,"Govt. High School, Manali, Chennai.",15.0,23.0,59.0
2012-07-19,"Govt. High School, Manali, Chennai.",18.0,21.0,81.0
2012-07-23,"Govt. High School, Manali, Chennai.",14.0,21.0,92.0
2012-07-26,"Govt. High School, Manali, Chennai.",18.0,19.0,57.0
2012-07-30,"Govt. High School, Manali, Chennai.",14.0,20.0,69.0
2012-08-02,"Govt. High School, Manali, Chennai.",15.0,18.0,75.0
2012-08-06,"Govt. High School, Manali, Chennai.",15.0,21.0,64.0
2012-08-13,"Govt. High School, Manali, Chennai.",16.0,22.0,63.0
2012-08-16,"Govt. High School, Manali, Chennai.",19.0,22.0,78.0
2012-08-23,"Govt. High School, Manali, Chennai.",18.0,20.0,71.0
2012-08-27,"Govt. High School, Manali, Chennai.",15.0,19.0,68.0
2012-08-30,"Govt. High School, Manali, Chennai.",18.0,21.0,62.0
2012-09-03,"Govt. High School, Manali, Chennai.",15.0,21.0,63.0
2012-09-06,"Govt. High School, Manali, Chennai.",14.0,20.0,68.0
2012-09-10,"Govt. High School, Manali, Chennai.",15.0,19.0,58.0
2012-09-13,"Govt. High School, Manali, Chennai.",15.0,22.0,73.0
2012-09-17,"Govt. High School, Manali, Chennai.",18.0,21.0,55.0
2012-09-20,"Govt. High School, Manali, Chennai.",16.0,20.0,73.0
2012-09-24,"Govt. High School, Manali, Chennai.",14.0,19.0,68.0
2012-09-27,"Govt. High School, Manali, Chennai.",13.0,17.0,61.0
2012-10-01,"Govt. High School, Manali, Chennai.",15.0,19.0,49.0
2012-10-04,"Govt. High School, Manali, Chennai.",14.0,19.0,74.0
2012-10-08,"Govt. High School, Manali, Chennai.",15.0,19.0,119.0
