,Sampling Date,Location of Monitoring Station,SO2,NO2,RSPM/PM10,SPM,PM 2.5
1726,23/09/2011,"Thiruvottiyur,  Chennai",35.0,34.0,54.0,,
1727,28/09/2011,"Thiruvottiyur,  Chennai",30.0,25.0,71.0,,
1728,30/09/2011,"Thiruvottiyur,  Chennai",31.0,31.0,77.0,,
1729,10/7/2011,"Thiruvottiyur,  Chennai",15.0,31.0,99.0,,
1730,10/12/2011,"Thiruvottiyur,  Chennai",29.0,33.0,67.0,,
1731,14/10/2011,"Thiruvottiyur,  Chennai",31.0,37.0,88.0,,
1732,19/10/2011,"Thiruvottiyur,  Chennai",30.0,35.0,112.0,,
1733,21/10/2011,"Thiruvottiyur,  Chennai",32.0,29.0,121.0,,
1734,28/10/2011,"Thiruvottiyur,  Chennai",25.0,29.0,67.0,,
1735,11/2/2011,"Thiruvottiyur,  Chennai",35.0,44.0,41.0,,
1736,11/4/2011,"Thiruvottiyur,  Chennai",38.0,52.0,22.0,,
1737,11/9/2011,"Thiruvottiyur,  Chennai",34.0,57.0,80.0,,
1738,11/11/2011,"Thiruvottiyur,  Chennai",25.0,48.0,87.0,,
1739,16/11/2011,"Thiruvottiyur,  Chennai",24.0,61.0,127.0,,
1740,18/11/2011,"Thiruvottiyur,  Chennai",27.0,49.0,120.0,,
1741,23/11/2011,"Thiruvottiyur,  Chennai",17.0,26.0,110.0,,
1742,25/11/2011,"Thiruvottiyur,  Chennai",19.0,33.0,47.0,,
1743,30/11/2011,"Thiruvottiyur,  Chennai",17.0,35.0,106.0,,
1744,12/2/2011,"Thiruvottiyur,  Chennai",18.0,33.0,112.0,,
1745,12/7/2011,"Thiruvottiyur,  Chennai",29.0,38.0,197.0,,
1746,12/9/2011,"Thiruvottiyur,  Chennai",28.0,20.0,52.0,,
1747,14/12/2011,"Thiruvottiyur,  Chennai",17.0,26.0,115.0,,
1748,16/12/2011,"Thiruvottiyur,  Chennai",12.0,23.0,121.0,,
1749,21/12/2011,"Thiruvottiyur,  Chennai",16.0,21.0,153.0,,
1750,23/12/2011,"Thiruvottiyur,  Chennai",10.0,15.0,134.0,,
1751,28/12/2011,"Thiruvottiyur,  Chennai",16.0,22.0,152.0,,
3221,1/4/2012,"Thiruvottiyur,  Chennai",14.0,22.0,39.0,,
3222,1/6/2012,"Thiruvottiyur,  Chennai",14.0,36.0,32.0,,
3223,18/01/2012,"Thiruvottiyur,  Chennai",15.0,18.0,37.0,,
3224,20/01/2012,"Thiruvottiyur,  Chennai",15.0,24.0,59.0,,
3225,25/01/2012,"Thiruvottiyur,  Chennai",17.0,21.0,88.0,,
3226,27/01/2012,"Thiruvottiyur,  Chennai",15.0,19.0,73.0,,
3227,2/1/2012,"Thiruvottiyur,  Chennai",15.0,31.0,70.0,,
3228,2/3/2012,"Thiruvottiyur,  Chennai",15.0,22.0,85.0,,
3229,2/8/2012,"Thiruvottiyur,  Chennai",11.0,24.0,79.0,,
3230,2/10/2012,"Thiruvottiyur,  Chennai",11.0,29.0,40.0,,
3231,15/02/2012,"Thiruvottiyur,  Chennai",15.0,23.0,58.0,,
3232,17/02/2012,"Thiruvottiyur,  Chennai",20.0,21.0,60.0,,
3233,22/02/2012,"Thiruvottiyur,  Chennai",20.0,30.0,57.0,,
3234,29/02/2012,"Thiruvottiyur,  Chennai",27.0,23.0,79.0,,
3235,3/2/2012,"Thiruvottiyur,  Chennai",19.0,24.0,83.0,,
3236,3/7/2012,"Thiruvottiyur,  Chennai",14.0,26.0,68.0,,
3237,3/9/2012,"Thiruvottiyur,  Chennai",15.0,26.0,58.0,,
3238,14/03/2012,"Thiruvottiyur,  Chennai",15.0,26.0,62.0,,
3239,16/03/2012,"Thiruvottiyur,  Chennai",21.0,27.0,58.0,,
3240,21/03/2012,"Thiruvottiyur,  Chennai",23.0,26.0,60.0,,
3241,28/03/2012,"Thiruvottiyur,  Chennai",19.0,31.0,60.0,,
3242,30/03/2012,"Thiruvottiyur,  Chennai",15.0,25.0,74.0,,
3243,4/4/2012,"Thiruvottiyur,  Chennai",15.0,24.0,64.0,,
3244,4/11/2012,"Thiruvottiyur,  Chennai",15.0,25.0,53.0,,
3245,18/04/2012,"Thiruvottiyur,  Chennai",12.0,25.0,41.0,,
3246,20/04/2012,"Thiruvottiyur,  Chennai",13.0,29.0,69.0,,
3247,25/04/2012,"Thiruvottiyur,  Chennai",15.0,30.0,47.0,,
3248,27/04/2012,"Thiruvottiyur,  Chennai",14.0,25.0,47.0,,
3249,5/2/2012,"Thiruvottiyur,  Chennai",12.0,30.0,76.0,,
3250,5/4/2012,"Thiruvottiyur,  Chennai",14.0,31.0,105.0,,
3251,5/9/2012,"Thiruvottiyur,  Chennai",13.0,30.0,84.0,,
3252,5/11/2012,"Thiruvottiyur,  Chennai",13.0,28.0,89.0,,
3253,16/05/2012,"Thiruvottiyur,  Chennai",15.0,30.0,72.0,,
3254,18/05/2012,"Thiruvottiyur,  Chennai",13.0,28.0,88.0,,
3255,23/05/2012,"Thiruvottiyur,  Chennai",14.0,31.0,98.0,,
3256,25/05/2012,"Thiruvottiyur,  Chennai",14.0,30.0,99.0,,
3257,29/05/2012,"Thiruvottiyur,  Chennai",15.0,30.0,80.0,,
3258,30/05/2012,"Thiruvottiyur,  Chennai",14.0,26.0,124.0,,
3259,6/1/2012,"Thiruvottiyur,  Chennai",19.0,23.0,139.0,,
3260,6/6/2012,"Thiruvottiyur,  Chennai",19.0,27.0,116.0,,
3261,6/8/2012,"Thiruvottiyur,  Chennai",18.0,27.0,122.0,,
3262,15/06/2012,"Thiruvottiyur,  Chennai",17.0,25.0,116.0,,
3263,20/06/2012,"Thiruvottiyur,  Chennai",19.0,28.0,151.0,,
3264,22/06/2012,"Thiruvottiyur,  Chennai",15.0,26.0,91.0,,
3265,27/06/2012,"Thiruvottiyur,  Chennai",16.0,25.0,85.0,,
3266,7/4/2012,"Thiruvottiyur,  Chennai",14.0,20.0,81.0,,
3267,7/6/2012,"Thiruvottiyur,  Chennai",14.0,22.0,46.0,,
3268,7/11/2012,"Thiruvottiyur,  Chennai",15.0,21.0,74.0,,
3269,13/07/2012,"Thiruvottiyur,  Chennai",13.0,20.0,76.0,,
3270,18/07/2012,"Thiruvottiyur,  Chennai",13.0,23.0,73.0,,
3271,20/07/2012,"Thiruvottiyur,  Chennai",13.0,25.0,94.0,,
3272,25/07/2012,"Thiruvottiyur,  Chennai",17.0,23.0,89.0,,
3273,27/07/2012,"Thiruvottiyur,  Chennai",16.0,23.0,81.0,,
3274,8/1/2012,"Thiruvottiyur,  Chennai",17.0,19.0,106.0,,
3275,8/3/2012,"Thiruvottiyur,  Chennai",16.0,18.0,94.0,,
3276,8/8/2012,"Thiruvottiyur,  Chennai",18.0,22.0,79.0,,
3277,8/10/2012,"Thiruvottiyur,  Chennai",16.0,18.0,70.0,,
3278,13/08/2012,"Thiruvottiyur,  Chennai",17.0,26.0,85.0,,
3279,17/08/2012,"Thiruvottiyur,  Chennai",19.0,20.0,85.0,,
3280,22/08/2012,"Thiruvottiyur,  Chennai",20.0,22.0,51.0,,
3281,24/08/2012,"Thiruvottiyur,  Chennai",16.0,51.0,58.0,,
3282,29/08/2012,"Thiruvottiyur,  Chennai",20.0,20.0,72.0,,
3283,31/08/2012,"Thiruvottiyur,  Chennai",18.0,17.0,82.0,,
3284,9/5/2012,"Thiruvottiyur,  Chennai",14.0,19.0,77.0,,
3285,9/7/2012,"Thiruvottiyur,  Chennai",16.0,17.0,71.0,,
3286,9/12/2012,"Thiruvottiyur,  Chennai",14.0,21.0,69.0,,
3287,14/09/2012,"Thiruvottiyur,  Chennai",17.0,18.0,67.0,,
3288,21/09/2012,"Thiruvottiyur,  Chennai",,,,,
3289,26/09/2012,"Thiruvottiyur,  Chennai",17.0,18.0,107.0,,
3290,28/09/2012,"Thiruvottiyur,  Chennai",14.0,18.0,103.0,,
3291,10/3/2012,"Thiruvottiyur,  Chennai",14.0,20.0,98.0,,
3292,10/5/2012,"Thiruvottiyur,  Chennai",13.0,18.0,93.0,,
3293,10/10/2012,"Thiruvottiyur,  Chennai",17.0,17.0,98.0,,
3294,17/10/2012,"Thiruvottiyur,  Chennai",12.0,17.0,93.0,,
3295,10/12/2012,"Thiruvottiyur,  Chennai",14.0,17.0,104.0,,
3296,26/10/2012,"Thiruvottiyur,  Chennai",16.0,16.0,107.0,,
3297,11/2/2012,"Thiruvottiyur,  Chennai",15.0,16.0,93.0,,
3298,11/7/2012,"Thiruvottiyur,  Chennai",13.0,18.0,84.0,,
3299,11/9/2012,"Thiruvottiyur,  Chennai",,,96.0,,
3300,14/11/2012,"Thiruvottiyur,  Chennai",14.0,18.0,126.0,,
3301,16/11/2012,"Thiruvottiyur,  Chennai",14.0,14.0,107.0,,
3302,21/11/2012,"Thiruvottiyur,  Chennai",13.0,17.0,100.0,,
3303,23/11/2012,"Thiruvottiyur,  Chennai",12.0,17.0,76.0,,
3304,28/11/2012,"Thiruvottiyur,  Chennai",11.0,18.0,85.0,,
3305,30/11/2012,"Thiruvottiyur,  Chennai",14.0,21.0,79.0,,
3306,12/5/2012,"Thiruvottiyur,  Chennai",15.0,18.0,59.0,,
3307,12/7/2012,"Thiruvottiyur,  Chennai",15.0,13.0,96.0,,
3308,12/12/2012,"Thiruvottiyur,  Chennai",16.0,17.0,88.0,,
3309,14/12/2012,"Thiruvottiyur,  Chennai",18.0,15.0,107.0,,
3310,19/12/2012,"Thiruvottiyur,  Chennai",15.0,18.0,102.0,,
3311,21/12/2012,"Thiruvottiyur,  Chennai",13.0,17.0,109.0,,
3312,26/12/2012,"Thiruvottiyur,  Chennai",16.0,15.0,108.0,,
3313,28/12/2012,"Thiruvottiyur,  Chennai",14.0,18.0,85.0,,
5416,1/4/2013,"Thiruvottiyur,  Chennai",15.0,17.0,92.0,,
5417,1/11/2013,"Thiruvottiyur,  Chennai",13.0,16.0,120.0,,
5418,18-01-13,"Thiruvottiyur,  Chennai",15.0,17.0,91.0,,
5419,23-01-13,"Thiruvottiyur,  Chennai",15.0,17.0,93.0,,
5420,30-01-13,"Thiruvottiyur,  Chennai",15.0,17.0,84.0,,
5421,2/1/2013,"Thiruvottiyur,  Chennai",15.0,18.0,106.0,,
5422,2/6/2013,"Thiruvottiyur,  Chennai",15.0,18.0,74.0,,
5423,2/8/2013,"Thiruvottiyur,  Chennai",16.0,22.0,92.0,,
5424,13-02-13,"Thiruvottiyur,  Chennai",17.0,16.0,64.0,,
5425,15-02-13,"Thiruvottiyur,  Chennai",12.0,19.0,86.0,,
5426,20-02-13,"Thiruvottiyur,  Chennai",16.0,18.0,57.0,,
5427,22-02-13,"Thiruvottiyur,  Chennai",17.0,18.0,59.0,,
5428,27-02-13,"Thiruvottiyur,  Chennai",14.0,18.0,82.0,,
5429,3/1/2013,"Thiruvottiyur,  Chennai",16.0,17.0,100.0,,
5430,3/6/2013,"Thiruvottiyur,  Chennai",20.0,23.0,46.0,,
5431,3/8/2013,"Thiruvottiyur,  Chennai",12.0,18.0,68.0,,
5432,15-03-13,"Thiruvottiyur,  Chennai",14.0,20.0,67.0,,
5433,20-03-13,"Thiruvottiyur,  Chennai",17.0,19.0,48.0,,
5434,22-03-13,"Thiruvottiyur,  Chennai",16.0,20.0,78.0,,
5435,27-03-13,"Thiruvottiyur,  Chennai",15.0,18.0,66.0,,
